time_step,hopper_level,belt_speed,flow_rate,olives_weight,label_jam_imminent,vibrator_intensity
2795,20.0,0.518,1.43,292.5,0,0.0
2796,20.0,0.507,1.86,291.9,0,0.0
2797,20.0,0.514,1.46,304.4,0,0.0
2798,20.0,0.515,1.68,285.2,0,0.0
2799,20.0,0.508,1.7,285.4,0,0.0
2800,20.0,0.507,1.68,298.8,0,0.0
2801,20.0,0.501,2.0,305.1,0,0.0
2802,20.0,0.491,1.93,307.0,0,0.0
2803,20.0,0.481,1.14,308.6,0,0.0
2804,20.0,0.52,1.36,286.3,0,0.0
2805,20.0,0.498,1.16,291.9,0,0.0
2806,20.0,0.483,1.74,310.3,0,0.0
2807,20.0,0.486,1.46,291.9,0,0.0
2808,20.0,0.484,1.88,294.7,0,0.0
2809,20.0,0.513,1.6,305.0,0,0.0
2810,20.0,0.485,1.45,288.5,0,0.0
2811,20.0,0.503,1.09,298.1,0,0.0
2812,20.0,0.511,1.33,294.6,0,0.0
2813,20.0,0.484,1.59,293.4,0,0.0
2814,20.0,0.499,1.37,312.3,0,0.0
2815,20.0,0.506,1.16,298.6,0,0.0
2816,20.0,0.517,1.08,292.1,0,0.0
2817,20.0,0.487,1.02,306.4,0,0.0
2818,20.0,0.485,1.5,313.2,0,0.0
2819,20.0,0.499,1.44,289.9,0,0.0
2820,20.0,0.504,1.5,289.5,0,0.0
2821,20.0,0.485,1.27,314.9,0,0.0
2822,20.0,0.497,1.59,311.6,0,0.0
2823,20.0,0.494,1.56,296.1,0,0.0
2824,20.0,0.5,1.45,301.9,0,0.0
2825,20.0,0.517,1.73,300.1,0,0.0
2826,20.0,0.505,1.82,305.8,0,0.0
2827,20.0,0.485,1.04,286.9,0,0.0
2828,20.0,0.513,1.8,307.4,0,0.0
2829,20.0,0.498,0.98,286.4,0,0.0
2830,20.0,0.507,1.34,286.8,0,0.0
2831,20.0,0.509,1.91,312.5,0,0.0
2832,20.0,0.514,1.16,297.5,0,0.0
2833,20.0,0.483,1.03,310.7,0,0.0
2834,20.0,0.492,1.1,312.9,0,0.0
2835,20.0,0.506,1.7,309.3,0,0.0
2836,20.0,0.485,1.11,306.9,0,0.0
2837,20.0,0.492,1.04,287.1,0,0.0
2838,20.0,0.51,1.68,307.3,0,0.0
2839,20.0,0.516,1.77,288.3,0,0.0
2840,20.0,0.489,1.72,295.5,0,0.0
2841,20.0,0.483,1.72,307.3,0,0.0
2842,20.0,0.507,1.18,290.3,0,0.0
2843,20.0,0.502,1.26,301.5,0,0.0
2844,20.0,0.495,1.19,299.4,0,0.0
2845,20.0,0.513,1.1,301.4,0,0.0
2846,20.0,0.512,1.17,295.1,0,0.0
2847,20.0,0.483,1.62,291.8,0,0.0
2848,20.0,0.514,1.3,293.9,0,0.0
2849,20.0,0.516,1.98,288.7,0,0.0
2850,20.0,0.508,1.89,293.4,0,0.0
2851,20.0,0.517,1.8,301.6,0,0.0
2852,20.0,0.483,1.51,298.1,0,0.0
2853,20.0,0.498,1.59,311.5,0,0.0
2854,20.0,0.507,1.05,303.6,0,0.0
2855,20.0,0.514,1.45,301.6,0,0.0
2856,20.0,0.509,1.51,294.5,0,0.0
2857,20.0,0.482,1.59,286.1,0,0.0
2858,20.0,0.505,1.73,313.5,0,0.0
2859,20.0,0.503,1.34,293.4,0,0.0
2860,20.0,0.503,1.23,308.2,0,0.0
2861,20.0,0.516,1.12,304.5,0,0.0
2862,20.0,0.482,1.87,309.1,0,0.0
2863,20.0,0.502,1.66,310.3,0,0.0
2864,20.0,0.5,1.53,293.6,0,0.0
2865,20.0,0.492,1.08,303.3,0,0.0
2866,20.0,0.483,1.74,285.4,0,0.0
2867,20.0,0.494,1.91,307.8,0,0.0
2868,20.0,0.487,0.92,291.9,0,0.0
2869,20.0,0.504,1.68,311.0,0,0.0
2870,20.0,0.517,1.8,313.5,0,0.0
2871,20.0,0.5,1.44,292.7,0,0.0
2872,20.0,0.497,1.56,295.3,0,0.0
2873,20.0,0.518,1.42,292.1,0,0.0
2874,20.0,0.503,1.6,293.4,0,0.0
2875,20.0,0.505,1.87,298.5,0,0.0
2876,20.0,0.484,1.4,301.7,0,0.0
2877,20.0,0.499,1.2,293.3,0,0.0
2878,20.0,0.509,1.17,293.9,0,0.0
2879,20.0,0.506,1.73,288.1,0,0.0
2880,20.0,0.497,1.16,307.4,0,0.0
2881,20.0,0.505,1.17,305.1,0,0.0
2882,20.0,0.487,1.59,305.9,0,0.0
2883,20.0,0.512,1.08,292.2,0,0.0
2884,20.0,0.49,1.32,286.2,0,0.0
2885,20.0,0.502,1.88,291.7,0,0.0
2886,20.0,0.517,1.9,313.9,0,0.0
2887,20.0,0.501,1.53,290.5,0,0.0
2888,20.0,0.495,1.76,285.2,0,0.0
2889,20.0,0.504,1.18,314.2,0,0.0
2890,20.0,0.497,1.05,304.8,0,0.0
2891,20.0,0.511,1.38,289.3,0,0.0
2892,20.0,0.513,1.8,293.6,0,0.0
2893,20.0,0.5,1.94,297.8,0,0.0
2894,20.0,0.507,1.58,304.8,0,0.0
2895,20.0,0.511,1.64,292.7,0,0.0
2896,20.0,0.513,1.51,305.5,0,0.0
2897,20.0,0.501,1.69,298.2,0,0.0
2898,20.0,0.481,1.22,291.1,0,0.0
2899,20.0,0.518,2.06,305.9,0,0.0
2900,20.0,0.491,1.68,300.2,0,0.0
2901,20.0,0.48,0.97,302.1,0,0.0
2902,20.0,0.516,1.4,304.8,0,0.0
2903,20.0,0.514,1.32,314.2,0,0.0
2904,20.0,0.49,1.24,304.4,0,0.0
2905,20.0,0.517,1.32,294.5,0,0.0
2906,20.0,0.513,1.35,296.1,0,0.0
2907,20.0,0.504,1.47,297.8,0,0.0
2908,20.0,0.508,1.38,298.9,0,0.0
2909,20.0,0.504,1.79,289.2,0,0.0
2910,20.0,0.496,1.05,301.2,0,0.0
2911,20.0,0.508,1.63,302.7,0,0.0
2912,20.0,0.492,1.28,293.5,0,0.0
2913,20.0,0.502,1.59,294.3,0,0.0
2914,20.0,0.485,1.12,296.9,0,0.0
2915,20.0,0.512,1.71,294.8,0,0.0
2916,20.0,0.499,1.65,285.4,0,0.0
2917,20.0,0.494,1.24,295.2,0,0.0
2918,20.0,0.5,1.24,314.6,0,0.0
2919,20.0,0.483,1.54,296.0,0,0.0
2920,20.0,0.513,1.46,306.7,0,0.0
2921,20.0,0.514,1.27,313.1,0,0.0
2922,20.0,0.484,1.53,296.1,0,0.0
2923,20.0,0.504,1.47,309.0,0,0.0
2924,20.0,0.517,1.36,292.7,0,0.0
2925,20.0,0.512,1.29,298.2,0,0.0
2926,20.0,0.491,1.4,299.2,0,0.0
2927,20.0,0.49,1.51,293.8,0,0.0
2928,20.0,0.485,1.68,307.5,0,0.0
2929,20.0,0.482,1.75,300.6,0,0.0
2930,20.0,0.494,1.91,298.4,0,0.0
2931,20.0,0.493,1.36,310.6,0,0.0
2932,20.0,0.484,1.15,305.6,0,0.0
2933,20.0,0.498,1.9,298.1,0,0.0
2934,20.0,0.506,1.72,295.1,0,0.0
2935,20.0,0.519,1.27,301.3,0,0.0
2936,20.0,0.518,1.43,289.6,0,0.0
2937,20.0,0.501,1.11,314.8,0,0.0
2938,20.0,0.489,1.92,310.8,0,0.0
2939,20.0,0.489,1.92,313.7,0,0.0
2940,20.0,0.5,1.0,286.1,0,0.0
2941,20.0,0.516,2.04,297.4,0,0.0
2942,20.0,0.489,1.34,291.5,0,0.0
2943,20.0,0.481,1.33,298.1,0,0.0
2944,20.0,0.489,1.4,307.4,0,0.0
2945,20.0,0.499,1.79,300.0,0,0.0
2946,20.0,0.515,1.56,301.5,0,0.0
2947,20.0,0.507,1.7,289.6,0,0.0
2948,20.0,0.484,1.49,314.4,0,0.0
2949,20.0,0.493,1.75,295.3,0,0.0
2950,20.0,0.509,2.08,313.2,0,0.0
2951,20.0,0.482,1.71,301.2,0,0.0
2952,20.0,0.519,1.59,309.0,0,0.0
2953,20.0,0.509,1.4,292.2,0,0.0
2954,20.0,0.508,1.72,311.6,0,0.0
2955,20.0,0.498,1.46,312.1,0,0.0
2956,20.0,0.482,1.13,300.8,0,0.0
2957,20.0,0.484,1.39,308.3,0,0.0
2958,20.0,0.506,1.44,295.8,0,0.0
2959,20.0,0.495,1.29,309.7,0,0.0
2960,20.0,0.494,1.5,307.9,0,0.0
2961,20.0,0.515,1.88,296.3,0,0.0
2962,20.0,0.508,1.67,300.2,0,0.0
2963,20.0,0.515,1.33,304.1,0,0.0
2964,20.0,0.519,1.69,298.0,0,0.0
2965,20.0,0.495,2.04,314.1,0,0.0
2966,20.0,0.504,1.02,301.8,0,0.0
2967,20.0,0.484,1.89,312.7,0,0.0
2968,20.0,0.506,1.31,289.7,0,0.0
2969,20.0,0.494,1.85,289.8,0,0.0
2970,20.0,0.49,1.4,307.2,0,0.0
2971,20.0,0.516,1.69,302.5,0,0.0
2972,20.0,0.513,1.4,301.3,0,0.0
2973,20.0,0.486,1.89,297.5,0,0.0
2974,20.0,0.495,1.75,302.6,0,0.0
2975,20.0,0.512,1.65,295.5,0,0.0
2976,20.0,0.51,1.4,310.9,0,0.0
2977,20.0,0.487,1.32,297.1,0,0.0
2978,20.0,0.514,1.19,299.7,0,0.0
2979,20.0,0.5,1.65,303.1,0,0.0
2980,20.0,0.515,1.89,312.7,0,0.0
2981,20.0,0.501,1.68,292.8,0,0.0
2982,20.0,0.481,1.59,287.1,0,0.0
2983,20.0,0.5,1.01,294.7,0,0.0
2984,20.0,0.49,1.46,293.0,0,0.0
2985,20.0,0.503,1.59,288.1,0,0.0
2986,20.0,0.487,1.86,292.0,0,0.0
2987,20.0,0.494,1.62,306.6,0,0.0
2988,20.0,0.484,1.68,294.9,0,0.0
2989,20.0,0.492,1.93,314.5,0,0.0
2990,20.0,0.491,1.47,311.3,0,0.0
2991,20.0,0.513,1.16,304.8,0,0.0
2992,20.0,0.506,1.59,299.9,0,0.0
2993,20.0,0.486,1.13,301.0,0,0.0
2994,20.0,0.506,1.83,307.3,0,0.0
2995,20.0,0.5,1.76,289.0,0,0.0
2996,20.0,0.508,1.48,297.7,0,0.0
2997,20.0,0.503,1.59,314.5,0,0.0
2998,20.0,0.482,1.44,309.8,0,0.0
2999,20.0,0.501,1.1,311.5,0,0.0
3000,20.0,0.509,1.18,291.2,0,0.0
3001,20.0,0.483,1.87,296.6,0,0.0
3002,20.0,0.5,1.12,296.0,0,0.0
3003,20.0,0.489,1.86,307.3,0,0.0
3004,20.0,0.509,1.46,309.0,0,0.0
3005,20.0,0.487,1.97,307.8,0,0.0
3006,20.0,0.507,1.56,313.7,0,0.0
3007,20.0,0.512,1.95,294.6,0,0.0
3008,20.0,0.505,1.4,289.7,0,0.0
3009,20.0,0.487,1.19,311.8,0,0.0
3010,20.0,0.497,1.67,303.7,0,0.0
3011,20.0,0.494,1.32,299.4,0,0.0
3012,20.0,0.508,1.93,297.8,0,0.0
3013,20.0,0.502,1.49,311.1,0,0.0
3014,20.0,0.485,1.9,288.8,0,0.0
3015,20.0,0.508,1.59,286.1,0,0.0
3016,20.0,0.515,1.95,308.3,0,0.0
3017,20.0,0.513,1.71,290.0,0,0.0
3018,20.0,0.485,1.2,307.0,0,0.0
3019,20.0,0.483,1.12,287.5,0,0.0
3020,20.0,0.507,1.97,314.4,0,0.0
3021,20.0,0.486,1.28,302.9,0,0.0
3022,20.0,0.513,1.3,312.1,0,0.0
3023,20.0,0.49,1.38,291.1,0,0.0
3024,20.0,0.492,1.84,302.4,0,0.0
3025,20.0,0.505,1.79,296.1,0,0.0
3026,20.0,0.485,1.14,312.5,0,0.0
3027,20.0,0.503,1.58,294.9,0,0.0
3028,20.0,0.512,1.92,301.2,0,0.0
3029,20.0,0.497,1.08,299.1,0,0.0
3030,20.0,0.5,1.16,296.0,0,0.0
3031,20.0,0.49,1.0,295.6,0,0.0
3032,20.0,0.51,1.83,292.7,0,0.0
3033,20.0,0.516,1.94,314.7,0,0.0
3034,20.0,0.507,1.89,301.0,0,0.0
3035,20.0,0.492,0.94,287.5,0,0.0
3036,20.0,0.484,1.4,285.5,0,0.0
3037,20.0,0.496,0.97,295.0,0,0.0
3038,20.0,0.515,1.21,286.6,0,0.0
3039,20.0,0.518,1.23,295.1,0,0.0
3040,20.0,0.504,1.35,299.5,0,0.0
3041,20.0,0.517,1.29,288.4,0,0.0
3042,20.0,0.507,1.46,315.0,0,0.0
3043,20.0,0.502,1.47,313.7,0,0.0
3044,20.0,0.519,1.55,288.6,0,0.0
3045,20.0,0.492,1.62,287.8,0,0.0
3046,20.0,0.516,1.91,314.2,0,0.0
3047,20.0,0.52,1.39,309.4,0,0.0
3048,20.0,0.484,1.44,303.4,0,0.0
3049,20.0,0.513,1.09,294.5,0,0.0
3050,20.0,0.511,1.92,313.1,0,0.0
3051,20.0,0.505,1.46,288.5,0,0.0
3052,20.0,0.5,1.42,312.7,0,0.0
3053,20.0,0.495,1.47,309.5,0,0.0
3054,20.0,0.485,1.58,298.6,0,0.0
3055,20.0,0.487,1.47,296.9,0,0.0
3056,20.0,0.483,1.95,306.1,0,0.0
3057,20.0,0.504,1.16,299.2,0,0.0
3058,20.0,0.49,1.28,313.3,0,0.0
3059,20.0,0.502,1.93,287.7,0,0.0
3060,20.0,0.514,1.51,291.5,0,0.0
3061,20.0,0.484,1.62,302.3,0,0.0
3062,20.0,0.489,1.7,289.3,0,0.0
3063,20.0,0.481,1.73,296.0,0,0.0
3064,20.0,0.52,1.3,296.4,0,0.0
3065,20.0,0.505,1.48,305.2,0,0.0
3066,20.0,0.513,1.39,313.6,0,0.0
3067,20.0,0.486,1.0,299.5,0,0.0
3068,20.0,0.507,2.01,302.6,0,0.0
3069,20.0,0.481,1.86,299.5,0,0.0
3070,20.0,0.518,1.41,297.5,0,0.0
3071,20.0,0.515,1.64,297.8,0,0.0
3072,20.0,0.486,1.88,286.2,0,0.0
3073,20.0,0.51,1.72,297.7,0,0.0
3074,20.0,0.517,1.49,292.9,0,0.0
3075,20.0,0.495,1.9,290.0,0,0.0
3076,20.0,0.516,1.86,285.2,0,0.0
3077,20.0,0.507,2.03,306.6,0,0.0
3078,20.0,0.48,1.23,311.4,0,0.0
3079,20.0,0.505,1.21,299.5,0,0.0
3080,20.0,0.483,1.5,309.8,0,0.0
3081,20.0,0.482,1.3,298.1,0,0.0
3082,20.0,0.498,1.88,304.1,0,0.0
3083,20.0,0.517,2.0,298.7,0,0.0
3084,20.0,0.492,0.97,295.3,0,0.0
3085,20.0,0.502,1.99,314.2,0,0.0
3086,20.0,0.482,1.49,287.0,0,0.0
3087,20.0,0.49,1.18,309.3,0,0.0
3088,20.0,0.517,1.78,293.2,0,0.0
3089,20.0,0.492,0.93,288.3,0,0.0
3090,20.0,0.514,1.1,297.5,0,0.0
3091,20.0,0.511,1.43,289.0,0,0.0
3092,20.0,0.496,1.98,309.1,0,0.0
3093,20.0,0.507,1.11,311.1,0,0.0
3094,20.0,0.481,1.68,286.5,0,0.0
3095,20.0,0.481,1.22,303.3,0,0.0
3096,20.0,0.486,1.23,313.0,0,0.0
3097,20.0,0.483,1.01,296.2,0,0.0
3098,20.0,0.5,1.93,288.7,0,0.0
3099,20.0,0.518,1.71,288.7,0,0.0
3100,20.0,0.518,1.28,306.9,0,0.0
3101,20.0,0.504,1.9,286.9,0,0.0
3102,20.0,0.506,1.83,290.3,0,0.0
3103,20.0,0.489,1.03,288.3,0,0.0
3104,20.0,0.504,1.69,305.5,0,0.0
3105,20.0,0.494,1.97,301.4,0,0.0
3106,20.0,0.495,0.96,285.3,0,0.0
3107,20.0,0.494,1.63,288.9,0,0.0
3108,20.0,0.51,1.97,313.4,0,0.0
3109,20.0,0.495,1.59,304.3,0,0.0
3110,20.0,0.482,1.12,289.1,0,0.0
3111,20.0,0.516,1.76,308.3,0,0.0
3112,20.0,0.496,1.06,300.3,0,0.0
3113,20.0,0.515,1.69,311.6,0,0.0
3114,20.0,0.513,1.28,301.8,0,0.0
3115,20.0,0.493,1.59,305.3,0,0.0
3116,20.0,0.495,1.79,299.2,0,0.0
3117,20.0,0.507,1.48,304.5,0,0.0
3118,20.0,0.487,1.13,293.9,0,0.0
3119,20.0,0.517,1.72,309.6,0,0.0
3120,20.0,0.518,1.03,294.1,0,0.0
3121,20.0,0.485,1.72,303.4,0,0.0
3122,20.0,0.506,1.9,291.8,0,0.0
3123,20.0,0.509,1.28,312.0,0,0.0
3124,20.0,0.493,1.65,292.3,0,0.0
3125,20.0,0.494,1.16,291.4,0,0.0
3126,20.0,0.508,1.14,308.9,0,0.0
3127,20.0,0.491,1.85,300.2,0,0.0
3128,20.0,0.499,1.08,306.6,0,0.0
3129,20.0,0.485,1.55,292.7,0,0.0
3130,20.0,0.501,1.64,290.0,0,0.0
3131,20.0,0.5,1.05,293.6,0,0.0
3132,20.0,0.52,1.52,305.9,0,0.0
3133,20.0,0.498,1.87,295.0,0,0.0
3134,20.0,0.514,1.91,305.6,0,0.0
3135,20.0,0.491,1.65,294.6,0,0.0
3136,20.0,0.517,1.96,293.0,0,0.0
3137,20.0,0.519,1.85,307.7,0,0.0
3138,20.0,0.5,1.65,285.2,0,0.0
3139,20.0,0.502,1.72,293.0,0,0.0
3140,20.0,0.509,1.09,302.0,0,0.0
3141,20.0,0.495,1.7,285.5,0,0.0
3142,20.0,0.504,2.01,304.3,0,0.0
3143,20.0,0.5,1.9,293.2,0,0.0
3144,20.0,0.519,1.98,299.1,0,0.0
3145,20.0,0.513,1.68,290.3,0,0.0
3146,20.0,0.5,1.26,305.3,0,0.0
3147,20.0,0.489,1.63,307.9,0,0.0
3148,20.0,0.488,1.18,288.5,0,0.0
3149,20.0,0.508,1.37,299.9,0,0.0
3150,20.0,0.482,1.61,296.2,0,0.0
3151,20.0,0.497,1.42,301.9,0,0.0
3152,20.0,0.495,1.25,311.4,0,0.0
3153,20.0,0.489,1.4,304.6,0,0.0
3154,20.0,0.485,1.58,300.1,0,0.0
3155,20.0,0.499,1.87,298.0,0,0.0
3156,20.0,0.487,1.69,308.5,0,0.0
3157,20.0,0.501,1.6,300.6,0,0.0
3158,20.0,0.496,1.29,309.8,0,0.0
3159,20.0,0.519,1.58,290.3,0,0.0
3160,20.0,0.495,1.94,310.5,0,0.0
3161,20.0,0.511,1.6,307.8,0,0.0
3162,20.0,0.502,1.36,287.7,0,0.0
3163,20.0,0.491,1.17,287.0,0,0.0
3164,20.0,0.492,1.73,304.7,0,0.0
3165,20.0,0.515,1.11,301.8,0,0.0
3166,20.0,0.482,1.74,304.9,0,0.0
3167,20.0,0.506,2.01,303.4,0,0.0
3168,20.0,0.503,1.43,309.7,0,0.0
3169,20.0,0.52,1.62,295.8,0,0.0
3170,20.0,0.511,1.3,313.5,0,0.0
3171,20.0,0.489,1.93,295.5,0,0.0
3172,20.0,0.52,1.98,312.3,0,0.0
3173,20.0,0.496,1.89,301.3,0,0.0
3174,20.0,0.518,1.55,292.5,0,0.0
3175,20.0,0.501,1.47,293.4,0,0.0
3176,20.0,0.517,1.1,306.9,0,0.0
3177,20.0,0.485,1.85,292.9,0,0.0
3178,20.0,0.486,1.75,289.9,0,0.0
3179,20.0,0.508,1.21,306.0,0,0.0
3180,20.0,0.49,1.24,289.7,0,0.0
3181,20.0,0.496,1.51,290.0,0,0.0
3182,20.0,0.501,1.84,309.2,0,0.0
3183,20.0,0.5,1.63,307.8,0,0.0
3184,20.0,0.483,1.04,313.2,0,0.0
3185,20.0,0.509,1.29,304.5,0,0.0
3186,20.0,0.495,1.5,302.8,0,0.0
3187,20.0,0.517,1.78,306.5,0,0.0
3188,20.0,0.494,1.19,305.0,0,0.0
3189,20.0,0.483,1.77,311.0,0,0.0
3190,20.0,0.496,1.46,297.4,0,0.0
3191,20.0,0.519,1.92,308.9,0,0.0
3192,20.0,0.482,1.61,292.7,0,0.0
3193,20.0,0.505,1.98,301.4,0,0.0
3194,20.0,0.481,1.18,302.3,0,0.0
3195,20.0,0.492,1.06,303.8,0,0.0
3196,20.0,0.513,1.22,304.8,0,0.0
3197,20.0,0.491,1.39,314.9,0,0.0
3198,20.0,0.504,1.27,286.4,0,0.0
3199,20.0,0.519,1.95,313.0,0,0.0
3200,20.0,0.493,1.66,295.2,0,0.0
3201,20.0,0.513,1.45,309.8,0,0.0
3202,20.0,0.507,1.69,291.5,0,0.0
3203,20.0,0.5,1.21,307.1,0,0.0
3204,20.0,0.485,1.96,306.7,0,0.0
3205,20.0,0.502,1.15,289.9,0,0.0
3206,20.0,0.501,1.24,312.6,0,0.0
3207,20.0,0.511,1.01,290.2,0,0.0
3208,20.0,0.509,1.22,295.7,0,0.0
3209,20.0,0.503,1.51,287.0,0,0.0
3210,20.0,0.5,1.26,290.1,0,0.0
3211,20.0,0.492,1.01,300.1,0,0.0
3212,20.0,0.518,2.0,310.4,0,0.0
3213,20.0,0.494,1.71,299.4,0,0.0
3214,20.0,0.467,1.64,294.5,0,0.0
3215,20.0,0.531,1.8,290.6,0,0.0
3216,20.0,0.498,1.44,288.1,0,0.0
3217,20.0,0.511,1.63,283.3,0,0.0
3218,20.0,0.476,1.44,279.2,0,0.0
3219,20.0,0.451,0.92,276.8,0,0.0
3220,20.0,0.533,1.92,274.1,0,0.0
3221,20.0,0.52,1.16,270.2,0,0.0
3222,20.0,0.489,1.0,265.6,0,0.0
3223,20.0,0.48,1.63,261.7,0,0.0
3224,20.0,0.543,1.03,257.0,0,0.0
3225,20.0,0.466,1.45,252.3,0,0.0
3226,20.0,0.513,1.64,249.8,1,80.6
3227,20.0,0.458,1.28,247.3,1,79.24
3228,20.0,0.481,1.58,243.4,1,81.71
3229,20.0,0.549,0.9,241.1,1,79.55
3230,20.0,0.535,1.49,236.8,1,81.83
3231,20.0,0.486,1.52,232.9,1,81.49
3232,20.0,0.518,1.49,230.8,1,78.33
3233,20.0,0.508,0.77,226.8,1,81.26
3234,20.0,0.54,0.92,222.8,1,78.78
3235,20.0,0.538,0.9,220.0,1,79.11
3236,20.0,0.507,0.86,217.1,1,78.78
3237,20.0,0.498,1.49,212.3,1,78.86
3238,20.0,0.53,0.99,208.6,1,79.9
3239,20.0,0.507,1.33,205.9,1,80.85
3240,20.0,0.548,0.67,202.6,1,79.93
3241,20.0,0.457,1.31,198.0,1,81.85
3242,20.0,0.461,0.89,194.7,1,79.32
3243,20.0,0.514,0.79,190.0,1,80.13
3244,20.0,0.532,1.18,187.2,1,79.1
3245,20.0,0.505,1.12,183.4,1,79.29
3246,20.0,0.48,1.09,179.9,1,80.19
3247,20.0,0.512,1.01,177.5,1,81.09
3248,20.0,0.468,0.66,174.6,1,78.92
3249,20.0,0.502,0.56,169.6,1,81.49
3250,20.0,0.458,1.21,166.6,1,80.12
3251,20.0,0.513,0.35,163.8,1,81.01
3252,20.0,0.531,1.11,160.1,1,81.46
3253,20.0,0.478,0.3,155.4,1,81.0
3254,20.0,0.536,1.23,153.2,1,78.92
3255,20.0,0.464,0.82,150.5,1,81.92
3256,20.0,0.497,0.88,146.4,1,78.71
3257,20.0,0.489,0.72,142.6,1,79.86
3258,20.0,0.535,0.39,140.5,1,81.08
3259,20.0,0.494,0.2,138.2,1,78.05
3260,20.0,0.454,0.96,134.4,1,80.03
3261,20.0,0.501,0.98,129.7,1,80.55
3262,20.0,0.504,0.78,126.2,1,78.31
3263,20.0,0.464,0.88,121.9,1,81.42
3264,20.0,0.492,0.7,117.5,1,79.0
3265,20.0,0.459,0.53,113.3,1,80.1
3266,20.0,0.471,0.56,109.9,1,81.45
3267,20.0,0.475,0.64,106.5,1,79.55
3268,20.0,0.481,0.92,101.6,1,82.0
3269,20.0,0.467,0.62,98.1,1,78.47
3270,20.0,0.539,0.41,93.2,1,80.15
3271,20.0,0.515,0.15,90.9,1,79.59
3272,20.0,0.511,-0.03,86.0,1,79.9
3273,20.0,0.472,0.85,81.1,1,80.02
3274,20.0,0.469,0.11,77.1,1,80.09
3275,20.0,0.519,0.27,74.5,1,81.47
3276,20.0,0.526,0.54,71.3,1,81.03
3277,20.0,0.546,-0.03,67.1,1,80.1
3278,20.0,0.491,-0.18,63.8,1,79.82
3279,20.0,0.477,0.51,60.6,1,79.51
3280,20.0,0.542,0.44,56.9,1,80.76
3281,20.0,0.467,0.41,53.0,1,79.9
3282,20.0,0.461,0.7,50.2,1,79.44
3283,20.0,0.457,0.65,47.2,1,79.83
3284,20.0,0.459,0.17,42.9,1,79.75
3285,20.0,0.516,-0.02,40.5,1,80.36
3286,20.0,0.48,-0.03,37.1,1,79.21
3287,20.0,0.496,0.33,34.3,1,81.15
3288,20.0,0.511,0.27,31.0,1,81.08
3289,20.0,0.548,0.45,28.8,1,78.78
3290,20.0,0.473,0.37,25.5,1,78.25
3291,20.0,0.51,-0.37,21.7,1,80.46
3292,20.0,0.468,0.22,18.5,1,78.54
3293,20.0,0.462,0.12,14.2,1,79.34
3294,20.0,0.502,-0.44,10.8,1,78.63
3295,20.0,0.452,-0.44,7.8,1,78.58
3296,20.0,0.472,0.12,3.3,1,79.61
3297,20.0,0.489,0.24,0.0,1,81.85
3298,20.0,0.523,0.2,0.0,1,79.72
3299,20.0,0.528,0.39,0.0,1,81.7
3300,20.0,0.488,1.25,305.1,0,0.0
3301,20.0,0.519,1.91,290.1,0,0.0
3302,20.0,0.519,1.8,300.9,0,0.0
3303,20.0,0.5,1.2,297.6,0,0.0
3304,20.0,0.483,1.48,311.6,0,0.0
3305,20.0,0.486,1.14,296.1,0,0.0
3306,20.0,0.492,1.49,292.5,0,0.0
3307,20.0,0.498,1.52,298.1,0,0.0
3308,20.0,0.497,1.78,291.4,0,0.0
3309,20.0,0.492,1.98,314.2,0,0.0
3310,20.0,0.507,1.85,297.0,0,0.0
3311,20.0,0.481,1.02,291.6,0,0.0
3312,20.0,0.487,1.65,296.9,0,0.0
3313,20.0,0.505,1.84,309.8,0,0.0
3314,20.0,0.503,1.28,307.3,0,0.0
3315,20.0,0.498,1.6,287.8,0,0.0
3316,20.0,0.499,1.37,286.1,0,0.0
3317,20.0,0.5,1.75,300.8,0,0.0
3318,20.0,0.517,1.88,312.2,0,0.0
3319,20.0,0.491,1.81,297.3,0,0.0
3320,20.0,0.489,1.73,297.1,0,0.0
3321,20.0,0.513,1.77,288.3,0,0.0
3322,20.0,0.502,1.94,299.5,0,0.0
3323,20.0,0.505,1.53,311.8,0,0.0
3324,20.0,0.481,1.42,293.2,0,0.0
3325,20.0,0.518,1.8,295.7,0,0.0
3326,20.0,0.493,1.41,301.3,0,0.0
3327,20.0,0.503,1.11,311.9,0,0.0
3328,20.0,0.51,1.72,293.5,0,0.0
3329,20.0,0.514,1.44,310.9,0,0.0
3330,20.0,0.507,1.96,309.6,0,0.0
3331,20.0,0.502,1.01,288.9,0,0.0
3332,20.0,0.497,1.04,287.0,0,0.0
3333,20.0,0.482,1.51,289.0,0,0.0
3334,20.0,0.48,1.34,294.2,0,0.0
3335,20.0,0.491,1.75,295.5,0,0.0
3336,20.0,0.496,2.02,312.3,0,0.0
3337,20.0,0.499,2.0,309.2,0,0.0
3338,20.0,0.497,2.02,312.9,0,0.0
3339,20.0,0.51,1.81,310.5,0,0.0
3340,20.0,0.506,1.99,304.9,0,0.0
3341,20.0,0.516,1.72,295.7,0,0.0
3342,20.0,0.52,1.83,307.3,0,0.0
3343,20.0,0.506,1.62,301.6,0,0.0
3344,20.0,0.497,1.92,295.2,0,0.0
3345,20.0,0.5,1.93,296.3,0,0.0
3346,20.0,0.518,1.73,309.0,0,0.0
3347,20.0,0.495,1.47,305.0,0,0.0
3348,20.0,0.515,1.58,293.0,0,0.0
3349,20.0,0.505,1.94,289.8,0,0.0
3350,20.0,0.503,1.61,305.2,0,0.0
3351,20.0,0.496,1.93,313.7,0,0.0
